word,phonetic,meaning,example,level,frequency
adapt,/əˈdæpt/,适应；改编,Students must adapt to a new learning environment.,CET4,100
adopt,/əˈdɒpt/,采用；收养,The team decided to adopt a simpler method.,CET4,95
adept,/əˈdept/,熟练的；擅长的,She is adept at explaining difficult ideas.,CET6,72
economic,/ˌiːkəˈnɒmɪk/,经济的；经济学的,Economic growth slowed during the winter.,CET4,98
economical,/ˌiːkəˈnɒmɪkl/,节约的；实惠的,This small car is economical to run.,CET4,78
complement,/ˈkɒmplɪment/,补充；相辅相成,The sauce complements the fresh vegetables.,CET6,70
compliment,/ˈkɒmplɪmənt/,赞美；恭维,He paid her a sincere compliment.,CET4,76
affect,/əˈfekt/,影响,Lack of sleep can affect your concentration.,CET4,99
effect,/ɪˈfekt/,效果；影响,The new policy had an immediate effect.,CET4,99
principal,/ˈprɪnsəpl/,主要的；校长,The principal reason was a lack of time.,CET4,83
principle,/ˈprɪnsəpl/,原则,Honesty is an important principle.,CET4,88
conscious,/ˈkɒnʃəs/,有意识的；清醒的,She was conscious of the time pressure.,CET6,82
conscience,/ˈkɒnʃəns/,良心,His conscience would not let him lie.,CET6,68

