word,phonetic,meaning,example,level,frequency,initial_delay_days
government,/'gʌvənmənt/,"n. 政府, 内阁",,CET4,9876,0
system,/'sistəm/,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则",,CET4,9864,0
state,/steit/,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位；a. 国家的, 正式的, 礼仪用的, 州的；vt. 说明, 陈述, 规定",,CET4,9863,0
might,/mait/,"n. 力量, 权力；aux. 可能, 也许",,CET4,9862,0
part,/pɑ:t/,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位；vt. 分开, 分离, 断绝, 区别, 分配；vi. 分开, 断裂, 分手；a. 部分的, 局部的；adv. 部分地, 有些",,CET4,9860,0
however,/hau'evə/,"adv. 然而, 无论如何, 究竟怎样；conj. 然而, 可是",,CET4,9855,0
area,/'єəriə/,"n. 区域, 面积, 范围, 空地",,CET4,9851,0
against,/ə'geinst/,"prep. 反对, 对着, 倚靠",,CET4,9845,0
provide,/prə'vaid/,"vt. 提供, 供应, 规定, 预备；vi. 作准备, 抚养, 规定",,CET4,9828,0
point,/pɒint/,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位；vt. 弄尖, 强调, 指出, 加标点于, 瞄准；vi. 指, 指向, 表明",,CET4,9824,0
follow,/'fɒləu/,"vt. 跟随, 沿行, 遵循, 追求；vi. 跟随, 接着；n. 跟随, 追随",,CET4,9814,0
within,/wi'ðin/,"n. 内部, 里头；adv. 在内部, 在内心里；prep. 在...之内",,CET4,9810,0
local,/'ləukəl/,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的；n. 当地居民, 本地新闻, 局部",,CET4,9809,0
program,/'prəugræm/,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划；vt. 规划, 拟...计划；vi. 安排节目, 编程序",,CET4,9806,0
although,/ɒ:l'ðou/,"conj. 虽然, 尽管",,CET4,9803,0
fact,/fækt/,"n. 事实, 真实性, 真相, 细节, 论据",,CET4,9799,0
social,/'səuʃəl/,"a. 社会的, 群居的, 社交的；n. 联欢会",,CET4,9798,0
business,/'biznis/,"n. 生意, 事情, 业务, 商业, 商行, 职责",,CET4,9785,0
happen,/'hæpən/,"vi. 发生, 发生, 恰巧",,CET4,9784,0
power,/'pauə/,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率；vt. 使...有力量, 供以动力, 激励",,CET4,9775,0
interest,/'intrist/,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力；vt. 使感兴趣, 与...有关系",,CET4,9769,1
national,/'næʃənəl/,"a. 国家的, 国立的, 全国性的, 民族的",,CET4,9769,1
level,/'levl/,"n. 水平, 水准, 平地；a. 同高的, 平坦的, 齐平的, 水平的；vt. 弄平, 夷平, 使同等, 瞄准, 对准；vi. 变平, 拉平",,CET4,9759,1
include,/in'klu:d/,"vt. 包括, 把...算入, 包住",,CET4,9754,1
issue,/'isju/,"n. 发行, 问题, 后果, 流出, 出口, 争端；vi. 发行, 流出, 造成...结果, 传下；vt. 使流出, 放出, 发行, 发布, 发给",,CET4,9752,1
perhaps,/pə'hæps/,"adv. 也许, 大概",,CET4,9751,1
policy,/'pɒlisi/,"n. 政策, 方针, 策略, 保险单",,CET4,9750,1
council,/'kaunsəl/,"n. 会议, 委员会",,CET4,9749,1
court,/kɒ:t/,"n. 法院, 庭院, 奉承；vt. 献殷勤, 追求, 招致；vi. 求爱",,CET4,9746,1
allow,/ə'lau/,"vt. 允许, 同意给予, 承认；vi. 容许, 猜想",,CET4,9743,1
lead,/li:d. led/,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线；vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包；vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖；a. 带头的, 最重要的",,CET4,9737,1
result,/ri'zʌlt/,"n. 结果, 成绩, 答案；vi. 产生, 结果, 致使",,CET4,9736,1
line,/lain/,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系；vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹；vi. 排队",,CET4,9724,1
political,/pə'litikl/,"a. 政治的, 政治上的, 政党的, 从事政治的",,CET4,9723,1
law,/lɒ:/,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼；v. 起诉",,CET4,9722,1
later,/'leitə/,"adv. 以后, 随后",,CET4,9721,1
lose,/lu:z/,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于；vi. 受损失, 失败",,CET4,9717,1
authority,/ɒ:'θɒriti/,"n. 权力, 当权者, 当局, 权威, 专家",,CET4,9715,1
appear,/ə'piə/,"vi. 出现, 显得, 来到",,CET4,9710,1
continue,/kən'tinju:/,"vi. 继续, 延续, 延长；vt. 使继续, 使延长",,CET4,9707,1
minister,/'ministə/,"n. 部长, 牧师, 公使；vi. 服侍, 救助, 主持宗教仪式",,CET4,9706,2
community,/kə'mju:niti/,"n. 社区, 公众, 共有, 共同体",,CET4,9704,2
produce,/prə'dju:s/,"n. 生产品, 物产, 后代；vt. 产生, 生产, 提出, 出示；vi. 生产, 制造",,CET4,9704,2
rate,/reit/,"n. 比率, 率, 速度, 价格, 费用, 等级；vt. 估价, 认为, 鉴定等级, 责骂；vi. 被评价, 责骂",,CET4,9703,2
general,/'dʒenərəl/,"n. 一般, 将军, 大体；a. 全面的, 大体的, 总的, 一般的, 普遍的；n. 常规",,CET4,9699,2
least,/li:st/,"n. 最少, 最小, 最小限度；a. 最少的, 最小的；adv. 最小, 最少",,CET4,9698,2
president,/'prezidənt/,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人",,CET4,9697,2
